Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3634039703.91329,1.80018424987793,0.0480103753507137,,,217.7062,0,2.396362,,,0.4359754,2.293708,0.0001,0,2.178942E-05,2.177037E-05,9.110639E-07,,,,,,900,-92.64067,-102.193,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634039715.07074,1.80015909671783,0.0360077805817127,,,,,,,,,,,,,,,,,,,,,,,100.9964,0,2.039316,,,0.5086185,1.96611,0.0001,0,1.010596E-05,1.009956E-05,3.596234E-07,,,,,,900,-95.21796,-100.6299,407379328,0,,,,,,,,,,,,,,,,
,3634039733.114,1.8003044128418,1010.95452880859,,,221.344,0,2.407229,,,0.4359754,2.293708,0.0001,0,2.215369E-05,2.213414E-05,9.304932E-07,,,,,,900,-89.50525,-94.17068,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634039744.50358,1.80002152919769,1011.00250244141,,,,,,,,,,,,,,,,,,,,,,,312.108,0,2.043126,,,0.5086185,1.96611,0.0001,0,3.123042E-05,3.121057E-05,1.113418E-06,,,,,,900,-91.60948,-103.1369,407379328,0,,,,,,,,,,,,,,,,
,3634039762.44197,1.79993379116058,2022.365234375,,,225.2576,0,2.374686,,,0.4359754,2.293708,0.0001,0,2.254486E-05,2.25255E-05,9.341285E-07,,,,,,900,-93.48408,-99.57655,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634039772.93461,1.79999196529388,2022.35314941406,,,,,,,,,,,,,,,,,,,,,,,524.8644,0,2.05319,,,0.5086185,1.96611,0.0001,0,5.251977E-05,5.248605E-05,1.881639E-06,,,,,,900,-80.22339,-80.77797,407379328,0,,,,,,,,,,,,,,,,
,3634039790.62164,1.79984176158905,3033.58374023438,,,224.9954,0,2.39978,,,0.4359754,2.293708,0.0001,0,2.251903E-05,2.249928E-05,9.429127E-07,,,,,,900,-90.46365,-99.05839,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634039802.10602,1.79998004436493,3033.58374023438,,,,,,,,,,,,,,,,,,,,,,,741.3154,0,2.05772,,,0.5086185,1.96611,0.0001,0,7.417882E-05,7.413099E-05,2.663485E-06,,,,,,900,-79.3888,-82.60208,407379328,0,,,,,,,,,,,,,,,,
,3634039819.70054,1.79962825775146,4044.826171875,,,214.3372,0,2.391243,,,0.4359754,2.293708,0.0001,0,2.145215E-05,2.143347E-05,8.950468E-07,,,,,,900,-89.70009,-95.43011,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
