Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3634045552.66206,7.00020599365234,0.0240051876753569,,,222.2809,0,2.396977,,,0.4359754,2.293708,0.0001,0,2.22473E-05,2.222784E-05,9.304475E-07,,,,,,900,-96.3083,-106.2419,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045564.10345,6.99990081787109,0.0120025938376784,,,,,,,,,,,,,,,,,,,,,,,100.3767,0,2.101345,,,0.5086185,1.96611,0.0001,0,1.004435E-05,1.003759E-05,3.682978E-07,,,,,,900,-92.928,-97.53345,407379328,0,,,,,,,,,,,,,,,,
,3634045582.11374,6.997727394104,1010.97845458984,,,227.9353,0,2.411876,,,0.4359754,2.293708,0.0001,0,2.281347E-05,2.279326E-05,9.600535E-07,,,,,,900,-92.98168,-102.2326,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045593.81131,7.00036811828613,1010.94250488281,,,,,,,,,,,,,,,,,,,,,,,311.57,0,2.053739,,,0.5086185,1.96611,0.0001,0,3.11768E-05,3.115677E-05,1.117278E-06,,,,,,900,-93.13927,-105.9477,407379328,0,,,,,,,,,,,,,,,,
,3634045612.26205,6.99849653244019,2022.365234375,,,233.1793,0,2.399402,,,0.4359754,2.293708,0.0001,0,2.333812E-05,2.331766E-05,9.770557E-07,,,,,,900,-91.63339,-103.4372,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045623.90263,7.00042343139648,2022.35314941406,,,,,,,,,,,,,,,,,,,,,,,525.0483,0,2.05322,,,0.5086185,1.96611,0.0001,0,5.253817E-05,5.250444E-05,1.882326E-06,,,,,,900,-83.85024,-83.76189,407379328,0,,,,,,,,,,,,,,,,
,3634045642.16725,6.99758625030518,3033.46362304688,,,235.2983,0,2.396592,,,0.4359754,2.293708,0.0001,0,2.355015E-05,2.352955E-05,9.847786E-07,,,,,,900,-90.19167,-97.76248,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045654.15144,6.99982881546021,3033.45166015625,,,,,,,,,,,,,,,,,,,,,,,742.423,0,2.040106,,,0.5086185,1.96611,0.0001,0,7.428884E-05,7.424175E-05,2.644612E-06,,,,,,900,-77.9312,-81.84719,407379328,0,,,,,,,,,,,,,,,,
,3634045672.2577,6.99814367294312,4044.71826171875,,,236.2564,0,2.396033,,,0.4359754,2.293708,0.0001,0,2.364604E-05,2.362537E-05,9.885575E-07,,,,,,900,-90.08371,-96.66489,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
