Time Stamp (s)	Temperature (K)	Field (Oe)	Resistance Ch1 (Ohms)	Resistance Std. Dev. Ch1 (Ohms)	Phase Angle Ch1 (deg)	Frequency Ch1 (Hz)	Averaging Time Ch1 (s)	AC Current Ch1 (mA)	DC Current Ch1 (mA)	Voltage Ampl Ch1 (V)	In Phase Voltage Ampl Ch1 (V)	Quadrature Voltage Ch1 (V)	Gain Ch1	2nd Harmonic Ch1 (dB)	3rd Harmonic Ch1 (dB)	Resistance Ch2 (Ohms)	Resistance Std. Dev. Ch2 (Ohms)	Phase Angle Ch2 (deg)	Frequency Ch2 (Hz)	Averaging Time Ch2 (s)	AC Current Ch2 (mA)	DC Current Ch2 (mA)	Voltage Ampl Ch2 (V)	In Phase Voltage Ampl Ch2 (V)	Quadrature Voltage Ch2 (V)	Gain Ch2	2nd Harmonic Ch2 (dB)	3rd Harmonic Ch2 (dB)	ETO Status Code	ETO Measurement Mode
																														
3634045553	7.000205994	0.024005188	222.2809	0	2.396977	0.4359754	2.293708	0.0001	0	2.22E-05	2.22E-05	9.30E-07	900	-96.3083	-106.2419														105388928	0
3634045564	6.999900818	0.012002594														100.3767	0	2.101345	0.5086185	1.96611	0.0001	0	1.00E-05	1.00E-05	3.68E-07	900	-92.928	-97.53345	407379328	0
3634045582	6.997727394	1010.978455	227.9353	0	2.411876	0.4359754	2.293708	0.0001	0	2.28E-05	2.28E-05	9.60E-07	900	-92.98168	-102.2326														105388928	0
3634045594	7.000368118	1010.942505														311.57	0	2.053739	0.5086185	1.96611	0.0001	0	3.12E-05	3.12E-05	1.12E-06	900	-93.13927	-105.9477	407379328	0
3634045612	6.998496532	2022.365234	233.1793	0	2.399402	0.4359754	2.293708	0.0001	0	2.33E-05	2.33E-05	9.77E-07	900	-91.63339	-103.4372														105388928	0
3634045624	7.000423431	2022.353149														525.0483	0	2.05322	0.5086185	1.96611	0.0001	0	5.25E-05	5.25E-05	1.88E-06	900	-83.85024	-83.76189	407379328	0
3634045642	6.99758625	3033.463623	235.2983	0	2.396592	0.4359754	2.293708	0.0001	0	2.36E-05	2.35E-05	9.85E-07	900	-90.19167	-97.76248														105388928	0
3634045654	6.999828815	3033.45166														742.423	0	2.040106	0.5086185	1.96611	0.0001	0	7.43E-05	7.42E-05	2.64E-06	900	-77.9312	-81.84719	407379328	0
3634045672	6.998143673	4044.718262	236.2564	0	2.396033	0.4359754	2.293708	0.0001	0	2.36E-05	2.36E-05	9.89E-07	900	-90.08371	-96.66489														105388928	0
3634045684	7.000016689	4044.718262														962.738	0	2.057505	0.5086185	1.96611	0.0001	0	9.63E-05	9.63E-05	3.46E-06	900	-75.7448	-78.95664	407379328	0
3634045702	6.998064995	5056.020996	237.7654	0	2.392273	0.4359754	2.293708	0.0001	0	2.38E-05	2.38E-05	9.93E-07	900	-90.45966	-99.20998														105388928	0
3634045714	7.000473499	5056.008789														1185.833	0	2.055973	0.5086185	1.96611	0.0001	0	0.000118659	0.000118582	4.26E-06	900	-73.47301	-77.15339	407379328	0
3634045732	6.998229504	6067.371582	241.2137	0	2.378768	0.4359754	2.293708	0.0001	0	2.41E-05	2.41E-05	1.00E-06	900	-89.9002	-98.29111														105388928	0
3634045743	7.000647068	6067.359375														1408.295	0	2.048717	0.5086185	1.96611	0.0001	0	0.000140919	0.000140828	5.04E-06	900	-69.30051	-73.183	407379328	0
3634045761	6.997648716	7078.469727	246.6257	0	2.393038	0.4359754	2.293708	0.0001	0	2.47E-05	2.47E-05	1.03E-06	900	-89.95894	-98.29334														105388928	0
